Time (s),Li-Ion Voltage (mV),LiPo Voltage (mV)
0,4200.233333333334,4060.866666666667
60,4193.083333333333,4030.3
120,4188.066666666667,4010.0833333333335
180,4187.783333333334,3987.733333333333
240,4180.833333333333,3971.8
300,4180.083333333333,3957.516666666667
360,4178.283333333334,3934.733333333333
420,4175.416666666667,3919.65
480,4173.783333333334,3905.116666666667
540,4169.65,3892.5
600,4170.533333333334,3874.4166666666665
660,4168.65,3864.75
720,4163.55,3849.516666666667
780,4159.85,3836.9666666666667
840,4161.033333333334,3824.5
900,4159.833333333333,3814.133333333333
960,4151.366666666667,3803.15
1020,4153.75,3791.85
1080,4149.9,3781.8333333333335
1140,4149.983333333334,3769.233333333333
1200,4146.466666666666,3760.1833333333334
1260,4141.883333333333,3750.05
1320,4139.816666666667,3742.3333333333335
1380,4137.933333333333,3733.633333333333
1440,4139.066666666667,3724.7166666666667
1500,4137.016666666666,3717.5833333333335
1560,4133.816666666667,3709.266666666667
1620,4131.916666666667,3704.6
1680,4133.366666666667,3694.733333333333
1740,4131.683333333333,3691.116666666667
1800,4127.683333333333,3683.6666666666665
1860,4125.733333333334,3678.4
1920,4124.4,3671.65
1980,4122.75,3663.116666666667
2040,4122.533333333334,3655.8
2100,4118.283333333334,3654.016666666667
2160,4119.466666666666,3645.3
2220,4115.85,3639.8
2280,4115.633333333333,3635.15
2340,4112.9,3627.4166666666665
2400,4112.483333333334,3622.0833333333335
2460,4111.233333333334,3615.266666666667
2520,4108.083333333333,3607.2166666666667
2580,4107.683333333333,3601.133333333333
2640,4105.8,3593.6833333333334
2700,4105.583333333333,3582.1666666666665
2760,4102.783333333334,3574.233333333333
2820,4100.783333333334,3558.516666666667
2880,4097.033333333334,3544.35
2940,4100.116666666667,3529.766666666667
3000,4096.066666666667,3512.25
3060,4097.983333333334,3493.3333333333335
3120,4094.0666666666666,3466.983333333333
3180,4093.9666666666667,3433.5333333333333
3240,4092.8,3389.883333333333
3300,4091.483333333333,3329.7
3360,4090.7,3245.3166666666666
3420,4088.016666666667,3122.0833333333335
3480,4090.2,3020.3333333333335
3540,4086.383333333333,
3600,4085.3,
3660,4081.616666666667,
3720,4083.0,
3780,4081.0666666666666,
3840,4079.8333333333335,
3900,4078.7,
3960,4080.45,
4020,4075.7166666666667,
4080,4075.116666666667,
4140,4077.0,
4200,4072.35,
4260,4072.7833333333333,
4320,4072.3333333333335,
4380,4070.266666666667,
4440,4070.3,
4500,4071.6833333333334,
4560,4070.9,
4620,4070.9333333333334,
4680,4067.45,
4740,4063.5666666666666,
4800,4064.95,
4860,4062.25,
4920,4062.2833333333333,
4980,4061.65,
5040,4062.35,
5100,4062.0,
5160,4059.633333333333,
5220,4059.6666666666665,
5280,4059.9,
5340,4057.2833333333333,
5400,4058.0666666666666,
5460,4055.35,
5520,4055.2,
5580,4054.7,
5640,4051.516666666667,
5700,4051.6,
5760,4051.0666666666666,
5820,4049.016666666667,
5880,4051.9,
5940,4049.3166666666666,
6000,4048.7833333333333,
6060,4050.75,
6120,4049.9166666666665,
6180,4047.016666666667,
6240,4046.5833333333335,
6300,4048.7833333333333,
6360,4049.1666666666665,
6420,4044.7,
6480,4041.85,
6540,4044.55,
6600,4043.1833333333334,
6660,4038.8166666666666,
