Time (s),Li-Ion Voltage (mV),LiPo Voltage (mV)
0,4189,4086
1,4189,4066
2,4199,4065
3,4199,4096
4,4199,4086
5,4209,4086
6,4199,4086
7,4219,4095
8,4219,4095
9,4209,4075
10,4209,4055
11,4209,4086
12,4189,4075
13,4199,4075
14,4199,4086
15,4199,4056
16,4199,4095
17,4219,4065
18,4209,4084
19,4189,4065
20,4209,4055
21,4189,4065
22,4209,4065
23,4209,4065
24,4188,4065
25,4189,4084
26,4209,4035
27,4209,4074
28,4209,4044
29,4209,4055
30,4189,4035
31,4209,4044
32,4189,4055
33,4189,4055
34,4199,4074
35,4199,4063
36,4199,4063
37,4209,4044
38,4209,4044
39,4198,4055
40,4209,4055
41,4198,4074
42,4189,4034
43,4189,4063
44,4199,4053
45,4199,4044
46,4199,4035
47,4219,4055
48,4209,4044
49,4178,4063
50,4209,4063
51,4177,4053
52,4189,4034
53,4189,4003
54,4189,4025
55,4189,4044
56,4189,4044
57,4209,4053
58,4209,4043
59,4209,4053
60,4209,4034
61,4198,4044
62,4178,4034
63,4189,4044
64,4189,4053
65,4199,4024
66,4199,4043
67,4209,4024
68,4209,4034
69,4209,4034
70,4197,4044
71,4198,4034
72,4178,4034
73,4169,4043
74,4199,4043
75,4189,4024
76,4209,4034
77,4209,4034
78,4178,4003
79,4198,4053
80,4178,4043
81,4189,4024
82,4189,4051
83,4189,4024
84,4188,4024
85,4198,4034
86,4198,4062
87,4189,4043
88,4189,4043
89,4199,4024
90,4189,4024
91,4209,4034
92,4209,4024
93,4198,4043
94,4198,4032
95,4178,4032
96,4178,4024
97,4209,4013
98,4189,4024
99,4209,3994
100,4209,4024
101,4198,4043
102,4198,4032
103,4178,4032
104,4178,4013
105,4189,4013
106,4189,4024
107,4189,4024
108,4209,4032
109,4198,4032
110,4198,4032
111,4198,4013
112,4198,4013
113,4178,4024
114,4159,4024
115,4159,4024
116,4189,4032
117,4189,4022
118,4189,4022
119,4209,4013
120,4198,4013
121,4198,4013
122,4177,3994
123,4178,4013
124,4178,4032
125,4189,4022
126,4189,4022
127,4189,4022
128,4209,4003
129,4209,4003
130,4198,4013
131,4198,4013
132,4178,4032
133,4178,4022
134,4189,4022
135,4189,4022
136,4189,4003
137,4209,4003
138,4209,4013
139,4198,4032
140,4198,4022
141,4178,4022
142,4168,4022
143,4158,4003
144,4189,4003
145,4189,4003
146,4189,4013
147,4209,4003
148,4188,4022
149,4188,4022
150,4198,4012
151,4178,3993
152,4189,3982
153,4189,4003
154,4169,4003
155,4138,4012
156,4198,4012
157,4198,4012
158,4198,4012
159,4178,4012
160,4189,4003
161,4189,4003
162,4189,4022
163,4189,4012
164,4198,4012
165,4198,4012
166,4198,3993
167,4178,4003
168,4178,4003
169,4189,4022
170,4189,4012
171,4198,4012
172,4178,3993
173,4147,3972
174,4178,4003
175,4189,4003
176,4189,4030
177,4178,4001
178,4209,4001
179,4198,3993
180,4198,3982
181,4188,3993
182,4178,3993
183,4189,4012
184,4178,4001
185,4189,3981
186,4178,4001
187,4198,3982
188,4188,3993
189,4168,4003
190,4158,3993
191,4189,4012
192,4189,4001
193,4209,4001
194,4198,4001
195,4198,3982
196,4198,3993
197,4159,3993
198,4178,3993
199,4189,4012
200,4189,3981
201,4209,3982
202,4198,3982
203,4198,3982
204,4198,3982
205,4198,3982
206,4178,3993
207,4189,4001
208,4189,4001
209,4178,4001
210,4198,3991
211,4198,3972
212,4198,3982
213,4188,3982
214,4178,3982
215,4178,4001
216,4189,3972
217,4189,3991
218,4189,3991
219,4198,3941
220,4198,3982
221,4177,3982
222,4188,3982
223,4178,3982
224,4178,3991
225,4178,3991
226,4189,3991
227,4209,3991
228,4198,3991
229,4177,3972
230,4198,3982
231,4198,3982
232,4168,3982
233,4159,3982
234,4189,3991
235,4159,3991
236,4198,3981
237,4198,3991
238,4198,3941
239,4188,3972
240,4168,3982
241,4178,3972
242,4178,3991
243,4159,3991
244,4209,3991
245,4188,3981
246,4188,3962
247,4188,3953
248,4168,3972
249,4178,3982
250,4168,3982
251,4178,3991
252,4198,3991
253,4158,3981
254,4188,3981
255,4188,3962
256,4168,3972
257,4178,3972
258,4178,3991
259,4198,3981
260,4167,3981
261,4188,3981
262,4178,3962
263,4178,3972
264,4178,3972
265,4209,3972
266,4167,3962
267,4188,3991
268,4188,3981
269,4178,3981
270,4178,3981
271,4178,3951
272,4198,3962
273,4198,3972
274,4188,3962
275,4188,3962
276,4188,3962
277,4168,3981
278,4178,3960
279,4178,3970
280,4198,3962
281,4198,3962
282,4188,3972
283,4168,3951
284,4168,3943
285,4178,3981
286,4178,3970
287,4168,3981
288,4198,3951
289,4157,3962
290,4188,3962
291,4188,3962
292,4168,3981
293,4159,3981
294,4178,3970
295,4198,3951
296,4167,3962
297,4188,3962
298,4168,3962
299,4188,3981
300,4178,3970
301,4178,3970
302,4178,3951
303,4198,3951
304,4177,3962
305,4188,3962
306,4188,3962
307,4188,3981
308,4189,3981
309,4178,3989
310,4198,3970
311,4188,3970
312,4188,3951
313,4188,3951
314,4168,3931
315,4178,3951
316,4178,3951
317,4178,3970
318,4177,3970
319,4188,3989
320,4188,3960
321,4188,3960
322,4168,3951
323,4178,3962
324,4178,3931
325,4178,3951
326,4198,3962
327,4188,3981
328,4188,3970
329,4188,3960
330,4168,3960
331,4158,3941
332,4168,3951
333,4178,3922
334,4198,3951
335,4177,3970
336,4168,3970
337,4188,3960
338,4168,3960
339,4178,3960
340,4178,3941
341,4178,3941
342,4188,3970
343,4188,3960
344,4168,3960
345,4168,3949
346,4178,3931
347,4178,3951
348,4198,3941
349,4188,3960
350,4188,3949
351,4157,3960
352,4148,3960
353,4178,3931
354,4178,3941
355,4158,3951
356,4188,3951
357,4177,3960
358,4177,3960
359,4188,3968
360,4168,3931
361,4178,3922
362,4178,3941
363,4178,3910
364,4188,3941
365,4188,3949
366,4188,3949
367,4158,3949
368,4168,3931
369,4178,3941
370,4178,3941
371,4198,3941
372,4157,3918
373,4188,3949
374,4188,3939
375,4168,3949
376,4168,3931
377,4178,3931
378,4178,3941
379,4198,3960
380,4188,3922
381,4188,3949
382,4188,3949
383,4158,3931
384,4168,3931
385,4178,3931
386,4178,3941
387,4198,3931
388,4188,3960
389,4208,3939
390,4177,3949
391,4168,3939
392,4158,3920
393,4159,3931
394,4178,3941
395,4198,3931
396,4188,3941
397,4168,3949
398,4177,3949
399,4168,3939
400,4178,3939
401,4168,3920
402,4178,3931
403,4177,3931
404,4188,3931
405,4188,3920
406,4188,3949
407,4168,3939
408,4178,3939
409,4159,3920
410,4168,3900
411,4188,3931
412,4188,3931
413,4188,3908
414,4157,3918
415,4168,3929
416,4168,3929
417,4178,3920
418,4178,3931
419,4198,3931
420,4188,3890
421,4208,3902
422,4177,3939
423,4137,3908
424,4137,3939
